codigo_atv,nombre_atv,codigo_tribu,nombre_tribu
291401,FABRICACION DE HORNOS Y QUEMADORES,2815.0,Fabricación de hornos hogueras y quemadores
300001,FABRICACION DE MAQUINARIA DE OFICINA CONTABILIDAD E INFORMATICA,2817.0,Fabricación de maquinaria y equipo de oficina (excepto computadoras y equipos periféricos)
292101,FABRICACION DE MAQUINARIA AGRICOLA,2821.0,Fabricación de maquinaria agropecuaria y forestal
292201,FABRICACION DE MAQUINAS HERRAMIENTA,2822.0,Fabricación de maquinarias para la conformación de metales y de máquinas herramienstas
292301,FABRICACION DE MAQUINARIA METALURGICA,2823.0,Fabricación de maquinaria para metalúrgica
292401,FABRICACION DE MAQUINARIA PARA LA EXPLOTACION DE MINAS Y CANTERAS Y PARA OBRAS DE CONSTRUCCION,2824.0,Fabricación de maquinaria para explotación de minas y canteras y para obras de construcción
292501,FABRICACION DE MAQUINARIA PARA LA ELABORACION DE ALIMENTOS BEBIDAS Y TABACO,2825.0,Fabricación de maquinaria para la elaboración de alimentos bebidas y tabaco
292601,FABRICACION MAQUINARIA PARA LA ELABORACION DE PRODUCTOS TEXTILES PRENDAS DE VESTIR Y CUEROS,2826.0,Fabricación de maquinaria para la elaboración de productos textiles prendas de vestir y cueros
292901,FABRICACION DE OTROS TIPOS DE MAQUINARIA DE USO ESPECIAL,2829.0,Fabricación de otros tipos de maquinaria de uso especial
341001,FABRICACION DE VEHICULOS AUTOMOTORES,2910.0,Fabricación de vehículos automotores
343001,FABRICACION DE PARTES PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES,2930.0,Fabricación de partes y accesorios para motores de vehículos
351102,CONSTRUCCION DE EMBARCACIONES Y ESTRUCTURAS FLOTANTES,3012.0,Construcción de embarcaciones de recreo y deporte
352001,FABRICACION DE LOCOMOTORAS Y MATERIAL RODANTE PARA FERROCARRILES Y TRANVIAS,3020.0,Fabricación de locomotoras y de material rodante
353001,FABRICACION DE AERONAVES Y NAVES ESPACIALES Y MAQUINARIA CONEXA,3030.0,Fabricación de aeronaves y naves espaciales y de maquinaria conexa
359101,FABRICACION DE MOTOCICLETAS PARTES PIEZAS Y SUS ACCESORIOS,3091.0,Fabricación de motocicletas
359201,FABRICACION DE BICICLETAS Y SILLAS DE RUEDAS PARTES PIEZAS Y SUS ACCESORIOS,3092.0,Fabricación de bicicletas y sillas de ruedas para personas con discapacidad
359901,FABRICACION DE OTROS TIPOS DE EQUIPO DE TRANSPORTE N.C.P.,3099.0,Fabricación de otros tipos de equipo de transporte n.c.p
361001,FABRICACION Y/O REPARACION DE MUEBLES Y ACCESORIOS (INCLUYECOLCHONES),3100.1,Fabricación de muebles de madera
361004,MAQUILA DE MUEBLES,3100.9,Fabricación de muebles de otro tipo de material (excepto de madera piedra cemento o cerámica)
369101,FABRICACION DE JOYAS BISUTERIA Y ARTICULOS CONEXOS,3211.0,Fabricación de joyas y artículos conexos
369201,FABRICACION DE INSTRUMENTOS MUSICALES PARTES Y PIEZAS Y SUS ACCESORIOS,3220.0,Fabricación de Instrumentos musicales
369301,FABRICACION DE ARTICULOS DE DEPORTE,3230.0,Fabricación de artículos de deporte
369401,FABRICACION DE JUEGOS Y JUGUETES,3240.0,Fabricación de juegos y juguetes
242903,REPARACION DE ARMAS DE FUEGO,3311.0,Reparación de productos elaborados de metal
453009,REPARACION DE PORTONES ELECTRICOS,3314.0,Reparación de equipo eléctrico
351101,SERVICIO DE REPARACION DE EMBARCACIONES Y SUS PARTES Y/O ESTRUCTURAS FLOTANTES,3315.0,Reparación de equipo de transporte excepto los vehículos automotores
401002,GENERACION Y/O DISTRIBUCION DE ENERGIA ELECTRICA (HIDRAULICA CONVENCIONAL TERMICO ETC),3510.0,Generación transmisión y distribución de energía eléctrica
402001,FABRICACION DE GAS; DISTRIBUCION DE COMBUSTIBLES GASEOSOS POR TUBERIAS,3520.0,Fabricación de gas; distribución de combustibles gaseosos por tuberías
900002,LIMPIEZA DE TANQUES SEPTICOS Y AGUAS REDISUALES,3700.0,Evacuación de aguas residuales
900001,ASESORAMIENTO Y ELIMINACION DE DESPERDICIOS SANEAMIENTO (EXCEPTO LIMPIEZA DE TANQUES SEPTICOS),3811.0,Recolección de desechos no peligrosos
452002,CONSTRUCCION DE EDIFICIOS APARTAMENTOS CONDOMINIOS Y CASAS DE HABITACION,4100.0,Construcción de edificios
452005,CONSTRUCCION Y MANTENIMIENTO DE CARRETERAS Y OTRAS VIAS,4210.0,Construcción de carreteras y vías férreas
451001,DEMOLICION DE EDIFICIOS Y OTRAS ESTRUCTURAS,4311.0,Demolición
451002,PREPARACION DE TERRENOS,4312.0,Preparación del terreno
511001,COMISIONISTAS AGENTES DE VENTAS ORGANIZADORES DE SUBASTAS TIQUETERAS ETC.,4610.0,Venta al por mayor a cambio de una retribución o por contrato
513101,VENTA AL POR MAYOR DE CALZADO PRODUCTOS TEXTILES; PRENDASDE VESTIR;,4641.1,Venta al por mayor de productos textiles y prendas de vestir
513906,VENTA AL POR MAYOR DE ARTICULOS ARTEFACTOS DISCOS Y MUEBLES PARA EL HOGAR,4649.1,Venta al por mayor de aparatos artículos y equipo de uso doméstico
515201,VENTA AL POR MAYOR DE EQUIPO DE COMPUTO SUS PARTES Y ACCESORIOS,4651.0,Venta al por mayor de computadoras equipo informático periférico y programas informáticos
519016,VENTA AL POR MAYOR DE ARTICULOS Y ACCESORIOS ELECTRONICOS,4652.0,Venta al por mayor de equipo partes y piezas electrónicas y de telecomunicaciones
514201,VENTA AL POR MAYOR DE METALES Y MINERALES METALIFEROS,4662.0,Venta al por mayor de metales y de minerales metalíferos
514903,VENTA AL POR MAYOR DE PRODUCTOS PARA USO AGROPECUARIO Y VENTA DESECHOS ORGANICOS E INORGANICOS,4669.1,Venta al por mayor de fertilizantes y productos agroquímicos
521101,SUPERMERCADOS Y ALMACENES DE ABARROTES EN CADENA,4711.1,Venta al por menor en supermercados almacenes y similares
521901,TIENDAS O ALMACENES POR DEPARTAMENTOS,4719.1,Venta al por menor en tiendas por departamentos
523201,BAZARES,4719.9,Venta al por menor en bazares y otros establecimientos no especializados n.c.p
522016,COMERCIO AL POR MENOR DE PRODUCTOS DE TABACO,4723.0,Venta al por menor de tabaco en comercios especializados
523918,VENTA AL POR MENOR DE EQUIPO DE AUDIO Y VIDEO,4742.0,Venta al por menor de equipo de audio y video en comercios especializados
523404,VENTA AL POR MENOR DE VIDRIO PARA LA CONSTRUCCION,4752.2,Venta al por menor de productos de vidrio en comercios especializados
525901,VENTA DE ALFOMBRAS Y TAPICES,4753.0,Venta al por menor de tapices alfombras cubrimientos para paredes y pisos en comercios especializado
523910,VENTA AL POR MENOR DE JUGUETES Y/O ARTICULOS DE ESPARCIMIENTO,4764.0,Venta al por menor de juegos y de juguetes en almacenes especializados
523203,VENTA AL POR MENOR DE CALZADO (ZAPATAERIAS),4771.2,Venta al por menor de zapatos en comercios especializados
601001,SERVICIO DE TRANSPORTE POR VIA FERREA,4911.0,Transporte de pasajeros por ferrocarril
